isbn,ncid,title,creators
300011,"http://ci.nii.ac.jp/ncid/BA85253267","古事記","倉野憲司校注"
300011,"http://ci.nii.ac.jp/ncid/BN00922611","古事記","倉野憲司校注"
300041,"http://ci.nii.ac.jp/ncid/BN00921834","日本書紀 : 訓讀","黒板勝美編"
300041,"http://ci.nii.ac.jp/ncid/BN11285575","日本書紀","坂本太郎 [ほか] 校注"
300051,"http://ci.nii.ac.jp/ncid/BB11320467","万葉集","佐竹昭広 [ほか] 校注"
300051,"http://ci.nii.ac.jp/ncid/BN02932172","新訓萬葉集","佐佐木信綱編"
300221,"http://ci.nii.ac.jp/ncid/BN01063067","梁塵秘抄","[後白河天皇編著] ; 佐佐木信綱校訂"
300221,"http://ci.nii.ac.jp/ncid/BN05537640","梁塵秘抄","[後白河天皇編著] ; 佐佐木信綱校訂"
301041,"http://ci.nii.ac.jp/ncid/BN00922688","大鏡","松村博司校注"
301041,"http://ci.nii.ac.jp/ncid/BN11509628","大鏡","松村博司校注"
302111,"http://ci.nii.ac.jp/ncid/BA8986326X","曾根崎心中 ; 冥途の飛脚 : 他五篇","近松門左衛門作 ; 祐田善雄校注"
302111,"http://ci.nii.ac.jp/ncid/BN00235043","曾根崎心中 ; 冥途の飛脚 : 他五篇","近松門左衛門作 ; 祐田善雄校注"
302151,"http://ci.nii.ac.jp/ncid/BB04909268","鶉衣","横井也有著 ; 堀切実校注"
302151,"http://ci.nii.ac.jp/ncid/BN00997701","鶉衣","横井也有著 ; 石田元季校訂"
302221,"http://ci.nii.ac.jp/ncid/BN00973623","譯註良寛詩集","大島花束, 原田勘平譯註"
302221,"http://ci.nii.ac.jp/ncid/BN12404104","譯註良寛詩集","大島花束, 原田勘平譯註"
302381,"http://ci.nii.ac.jp/ncid/BA83655962","日本民謡集","町田嘉章, 浅野建二編"
302381,"http://ci.nii.ac.jp/ncid/BB08094086","日本民謡集","町田嘉章, 浅野建二編"
302381,"http://ci.nii.ac.jp/ncid/BN01049190","日本民謡集","町田嘉章, 浅野建二編"
302561,"http://ci.nii.ac.jp/ncid/BA34997711","勧進帳","守隨憲治校訂"
302561,"http://ci.nii.ac.jp/ncid/BN01008896","勧進帳","守隨憲治校訂"
310031,"http://ci.nii.ac.jp/ncid/BA56757562","怪談牡丹燈籠","三遊亭円朝作"
310031,"http://ci.nii.ac.jp/ncid/BN00963630","怪談牡丹燈籠","三遊亭圓朝作"
310032,"http://ci.nii.ac.jp/ncid/BA81203675","真景累ケ淵","三遊亭円朝作"
310032,"http://ci.nii.ac.jp/ncid/BN00966548","眞景累ケ淵","三遊亭圓朝作"
310041,"http://ci.nii.ac.jp/ncid/BB02342287","小説神髄","坪内逍遥著"
310041,"http://ci.nii.ac.jp/ncid/BN01803072","小説神髄","坪内逍遥著"
310042,"http://ci.nii.ac.jp/ncid/BA76438170","当世書生気質","坪内逍遥作"
310042,"http://ci.nii.ac.jp/ncid/BN00912979","当世書生気質","坪内逍遥著"
310055,"http://ci.nii.ac.jp/ncid/BA59079388","雁","森鷗外作"
310055,"http://ci.nii.ac.jp/ncid/BN01977528","雁","森鷗外作"
310056,"http://ci.nii.ac.jp/ncid/BA84089372","阿部一族 : 他二篇","森鷗外作"
310056,"http://ci.nii.ac.jp/ncid/BN01527408","阿部一族 : 他二編","森鷗外作"
310057,"http://ci.nii.ac.jp/ncid/BA59080037","山椒大夫・高瀬舟 : 他四篇","森鷗外作"
310057,"http://ci.nii.ac.jp/ncid/BN01976933","山椒大夫 ; 高瀬舟 : 他四編","森鷗外作"
310071,"http://ci.nii.ac.jp/ncid/BA68989769","浮雲","二葉亭四迷作 ; 十川信介校注"
310071,"http://ci.nii.ac.jp/ncid/BN01978553","浮雲","二葉亭四迷作"
310101,"http://ci.nii.ac.jp/ncid/BN03762497","吾輩は猫である","夏目漱石著"
310101,"http://ci.nii.ac.jp/ncid/BN04568944","吾輩は猫である","夏目漱石作"
310104,"http://ci.nii.ac.jp/ncid/BN01978473","草枕","夏目漱石作"
310104,"http://ci.nii.ac.jp/ncid/BN04568999","草枕","夏目漱石作"
310106,"http://ci.nii.ac.jp/ncid/BN0152793X","三四郎","夏目漱石作"
310106,"http://ci.nii.ac.jp/ncid/BN04569073","三四郎","夏目漱石作"
310107,"http://ci.nii.ac.jp/ncid/BN01529913","それから","夏目漱石作"
310107,"http://ci.nii.ac.jp/ncid/BN0401793X","それから","夏目漱石作"
310108,"http://ci.nii.ac.jp/ncid/BN04569120","門","夏目漱石作"
310108,"http://ci.nii.ac.jp/ncid/BN05471043","門","夏目漱石作"
310110,"http://ci.nii.ac.jp/ncid/BN04568707","行人","夏目漱石作"
310110,"http://ci.nii.ac.jp/ncid/BN07849586","行人","夏目漱石著"
310113,"http://ci.nii.ac.jp/ncid/BN0197886X","道草","夏目漱石作"
310113,"http://ci.nii.ac.jp/ncid/BN0456881X","道草","夏目漱石作"
310121,"http://ci.nii.ac.jp/ncid/BN01527907","五重塔","幸田露伴著"
310121,"http://ci.nii.ac.jp/ncid/BN11785498","五重塔","幸田露伴作"
310123,"http://ci.nii.ac.jp/ncid/BA5267442X","努力論","幸田露伴著"
310123,"http://ci.nii.ac.jp/ncid/BN05644163","努力論","幸田露伴著"
310147,"http://ci.nii.ac.jp/ncid/BA61758622","多情多恨","尾崎紅葉作"
