isbn,ncid,title,creators
321051,"http://ci.nii.ac.jp/ncid/BN05121813","アンティゴネー","ソポクレース作 ; 呉茂一訳"
357004,"http://ci.nii.ac.jp/ncid/BB15533313","アンティゴネー","ソポクレース作 ; 中務哲郎訳"
334271,"http://ci.nii.ac.jp/ncid/BN00931907","インディアスの破壊についての簡潔な報告","ラス・カサス著 ; 染田秀藤訳"
358001,"http://ci.nii.ac.jp/ncid/BB13217312","インディアスの破壊についての簡潔な報告","ラス・カサス著 ; 染田秀藤訳"
322321,"http://ci.nii.ac.jp/ncid/BN00955472","ジェイン・エア","シャーロット・ブロンティ作 ; 遠藤寿子訳"
357002,"http://ci.nii.ac.jp/ncid/BB13481682","ジェイン・エア","シャーロット・ブロンテ作 ; 河島弘美訳"
323021,"http://ci.nii.ac.jp/ncid/BN00925904","スケッチ・ブック","アーヴィング作 ; 高垣松雄譯"
373001,"http://ci.nii.ac.jp/ncid/BB1716040X","スケッチ・ブック","アーヴィング作 ; 齊藤昇訳"
336014,"http://ci.nii.ac.jp/ncid/BN01844193","テアイテトス","プラトン著 ; 田中美知太郎訳"
358002,"http://ci.nii.ac.jp/ncid/BB17515855","テアイテトス","プラトン著 ; 田中美知太郎訳"
310061,"http://ci.nii.ac.jp/ncid/BN01024746","ファウスト","[ゲーテ著] ; 森林太郎譯"
324062,"http://ci.nii.ac.jp/ncid/BN01034932","ファウスト","ゲーテ作 ; 相良守峯訳"
342093,"http://ci.nii.ac.jp/ncid/BN02949302","プロテスタンティズムの倫理と資本主義の精神","マックス・ヴェーバー著 ; 大塚久雄訳"
342094,"http://ci.nii.ac.jp/ncid/BN00916641","プロテスタンティズムの倫理と資本主義の精神","マックス・ウェーバー著 ; 梶山力, 大塚久雄譯"
325481,"http://ci.nii.ac.jp/ncid/BN01982845","マラルメ詩集","マラルメ [著] ; 鈴木信太郎譯"
375086,"http://ci.nii.ac.jp/ncid/BB17166891","マラルメ詩集","[マラルメ著] ; 渡辺守章訳"
342011,"http://ci.nii.ac.jp/ncid/BN00915591","ユートピアだより","ウィリアム・モリス作 ; 松村達雄訳"
359031,"http://ci.nii.ac.jp/ncid/BB13216830","ユートピアだより","ウィリアム・モリス作 ; 川端康雄訳"
310051,"http://ci.nii.ac.jp/ncid/BN01994210","即興詩人","アンデルセン [著] ; 森鴎外訳"
327411,"http://ci.nii.ac.jp/ncid/BN00938633","即興詩人","アンデルセン作 ; 大畑末吉訳"
201189,"http://ci.nii.ac.jp/ncid/BB12218364","存在と時間","ハイデガー著 ; 熊野純彦訳"
336511,"http://ci.nii.ac.jp/ncid/BN00924730","存在と時間","ハイデガー著 ; 桑木務訳"
326197,"http://ci.nii.ac.jp/ncid/BN00402032","復活","トルストイ作 ; 中村白葉訳"
357005,"http://ci.nii.ac.jp/ncid/BB16085477","復活","トルストイ作 ; 藤沼貴訳"
325261,"http://ci.nii.ac.jp/ncid/BN05040391","恋愛論","スタンダール著 ; 前川堅市訳"
375087,"http://ci.nii.ac.jp/ncid/BB20220736","恋愛論","スタンダール著 ; 杉本圭子訳"
310237,"http://ci.nii.ac.jp/ncid/BN01033703","桜の実の熟する時","島崎藤村作"
360033,"http://ci.nii.ac.jp/ncid/BB25564186","桜の実の熟する時","島崎藤村作"
310272,"http://ci.nii.ac.jp/ncid/BN02547171","歌行燈","泉鏡花作"
360028,"http://ci.nii.ac.jp/ncid/BB23854050","歌行燈","泉鏡花作"
300151,"http://ci.nii.ac.jp/ncid/BN00909599","源氏物語","[紫式部著] ; 山岸徳平校注"
351015,"http://ci.nii.ac.jp/ncid/BB24030845","源氏物語","[紫式部著] ; 柳井滋 [ほか] 校注"
336458,"http://ci.nii.ac.jp/ncid/BN01778554","物質と記憶","ベルグソン著 ; 高橋里美譯"
389013,"http://ci.nii.ac.jp/ncid/BB19516087","物質と記憶","ベルクソン著 ; 熊野純彦訳"
310212,"http://ci.nii.ac.jp/ncid/BN00236046","田舎教師","田山花袋作"
360032,"http://ci.nii.ac.jp/ncid/BB25760741","田舎教師","田山花袋作"
310911,"http://ci.nii.ac.jp/ncid/BN00966038","眞空地帯","野間宏作"
360031,"http://ci.nii.ac.jp/ncid/BB25097342","真空地帯","野間宏作"
310369,"http://ci.nii.ac.jp/ncid/BN00937743","草の葉 : ホヰットマン詩集","有島武郎選譯"
323091,"http://ci.nii.ac.jp/ncid/BA34008426","草の葉","ホイットマン作 ; 酒本雅之訳"
323091,"http://ci.nii.ac.jp/ncid/BN01982175","草の葉 : ホイットマン詩集","ホイットマン [著] ; 杉木喬, 鍋島能弘, 酒本雅之訳"
310054,"http://ci.nii.ac.jp/ncid/BN01033769","青年","森鷗外作"
360026,"http://ci.nii.ac.jp/ncid/BB23438930","青年","森鷗外作"
